INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42701,2000,11,0,0,0.04,0.32,0.52,0.66,0.75,0.8,0.79,0.77,0.67,0.54,0.3,0.05,0,0,6.18,0
42701,2000,12,0,0,0.02,0.25,0.47,0.61,0.68,0.69,0.68,0.65,0.59,0.46,0.26,0.03,0,0,5.39,0
42701,2001,1,0,0,0.02,0.28,0.46,0.57,0.66,0.64,0.64,0.6,0.54,0.42,0.23,0.02,0,0,5.08,0
42701,2001,2,0,0,0.05,0.34,0.55,0.68,0.73,0.76,0.79,0.76,0.67,0.53,0.33,0.06,0,0,6.25,0
42701,2001,3,0,0,0.16,0.5,0.73,0.85,0.9,0.95,0.93,0.86,0.84,0.67,0.43,0.13,0,0,7.97,0
42701,2001,4,0,0.03,0.3,0.59,0.79,0.92,0.94,1.04,1.11,1.07,0.97,0.78,0.51,0.21,0.01,0,9.26,0
42701,2001,5,0,0.05,0.38,0.7,0.89,0.99,1.12,1.16,1.17,1.05,0.98,0.86,0.62,0.31,0.03,0,10.35,0
42701,2001,6,0,0.04,0.28,0.57,0.82,1.12,1.29,1.34,1.23,1.01,0.85,0.65,0.43,0.17,0.02,0,9.82,0
42701,2001,9,0,0,0.17,0.58,0.9,1.21,1.4,1.49,1.43,1.32,1.15,0.89,0.5,0.12,0,0,11.17,0
42701,2001,10,0,0,0.1,0.52,0.84,1.15,1.34,1.47,1.33,1.21,0.97,0.74,0.36,0.07,0,0,10.1,0
42701,2001,11,0,0,0.02,0.35,0.73,0.98,1.16,1.22,1.28,1.22,1,0.76,0.38,0.03,0,0,9.13,0
42701,2001,12,0,0,0.02,0.3,0.56,0.7,0.78,0.82,0.83,0.78,0.7,0.54,0.27,0.02,0,0,6.31,0
42701,2002,1,0,0,0.03,0.37,0.64,0.79,0.89,1,1.04,1.01,0.82,0.62,0.29,0.02,0,0,7.52,0
42701,2002,2,0,0,0.07,0.39,0.67,0.87,0.95,0.94,0.92,0.88,0.76,0.6,0.37,0.07,0,0,7.47,0
42701,2002,3,0,0,0.19,0.62,0.81,0.93,1.04,1.13,1.21,1.18,1.04,0.78,0.5,0.15,0,0,9.58,0
42701,2002,4,0,0.02,0.36,0.79,1.05,1.26,1.33,1.32,1.34,1.38,1.29,1.01,0.67,0.25,0.01,0,12.09,0
42701,2002,5,0,0.04,0.43,0.89,1.22,1.43,1.41,1.51,1.49,1.39,1.35,1.12,0.81,0.37,0.03,0,13.5,0
42701,2002,6,0,0.05,0.37,0.79,1.1,1.34,1.39,1.49,1.79,1.54,1.2,1.05,0.69,0.36,0.05,0,13.21,0
42701,2002,7,0,0.02,0.29,0.71,1.11,1.45,1.6,1.77,1.62,1.45,1.16,0.88,0.52,0.2,0.02,0,12.81,0
42701,2002,12,0,0,0.02,0.25,0.43,0.54,0.6,0.64,0.63,0.59,0.52,0.38,0.19,0.02,0,0,4.83,0
42701,2003,1,0,0,0.02,0.26,0.47,0.57,0.63,0.67,0.66,0.64,0.54,0.4,0.21,0.02,0,0,5.07,0
42701,2003,2,0,0,0.04,0.3,0.52,0.63,0.71,0.79,0.8,0.73,0.56,0.45,0.29,0.06,0,0,5.89,0
42701,2003,3,0,0,0.13,0.42,0.6,0.7,0.75,0.78,0.83,0.76,0.6,0.48,0.32,0.08,0,0,6.46,0
42701,2003,4,0,0.01,0.24,0.55,0.74,0.84,0.88,0.9,0.89,0.91,0.85,0.65,0.42,0.15,0,0,8.04,0
42701,2003,5,0,0.04,0.36,0.72,0.94,1.04,1.1,1.13,1.15,1.17,1.06,0.92,0.64,0.3,0.04,0,10.6,0
42701,2003,6,0,0.05,0.34,0.67,0.97,1.13,1.26,1.29,1.33,1.13,0.92,0.7,0.51,0.25,0.04,0,10.61,0
42701,2003,7,0,0.05,0.28,0.6,0.89,1.09,1.26,1.34,1.16,1.02,0.84,0.66,0.47,0.21,0.03,0,9.87,0
42701,2003,8,0,0.03,0.25,0.55,0.85,1.04,1.24,1.09,1.19,1.07,0.82,0.64,0.43,0.16,0.02,0,9.38,0
42701,2003,9,0,0.01,0.18,0.47,0.7,0.93,1.05,1.1,1.08,0.97,0.92,0.6,0.38,0.15,0,0,8.54,0
42701,2003,10,0,0,0.08,0.33,0.62,0.81,0.96,0.98,1.05,0.86,0.62,0.43,0.2,0.04,0,0,6.96,0
42701,2003,11,0,0,0.03,0.29,0.46,0.56,0.63,0.67,0.66,0.61,0.54,0.41,0.23,0.04,0,0,5.14,0
42701,2003,12,0,0,0.01,0.25,0.44,0.56,0.66,0.69,0.63,0.59,0.53,0.4,0.18,0.01,0,0,4.94,0
42701,2004,1,0,0,0.02,0.26,0.46,0.57,0.68,0.7,0.73,0.7,0.57,0.43,0.22,0.02,0,0,5.37,0
42701,2004,2,0,0,0.05,0.34,0.52,0.61,0.67,0.7,0.69,0.67,0.61,0.5,0.31,0.07,0,0,5.75,0
42701,2004,3,0,0,0.13,0.43,0.61,0.69,0.74,0.76,0.75,0.74,0.69,0.57,0.38,0.12,0,0,6.6,0
42701,2004,4,0,0.01,0.27,0.57,0.78,0.85,0.92,1.01,0.94,0.93,0.84,0.64,0.41,0.18,0.01,0,8.35,0
42701,2004,5,0,0.03,0.34,0.67,0.93,1.01,1.03,1.08,1.1,1.08,0.99,0.76,0.53,0.25,0.02,0,9.82,0
42701,2004,6,0,0.04,0.3,0.57,0.8,0.95,1.12,1.17,1.07,0.98,0.84,0.6,0.4,0.17,0.03,0,9.03,0
42701,2004,7,0,0.04,0.26,0.6,0.86,1.09,1.24,1.33,1.28,1.13,0.93,0.7,0.46,0.22,0.03,0,10.19,0
42701,2004,8,0,0.01,0.22,0.45,0.73,1.07,1.22,1.34,1.31,1.04,0.91,0.72,0.44,0.17,0.01,0,9.66,0
42701,2004,9,0,0.01,0.19,0.48,0.75,1,1.21,1.23,1.19,1.04,0.85,0.61,0.37,0.14,0.02,0,9.09,0
42701,2004,10,0,0.01,0.15,0.48,0.69,0.82,0.95,1.03,0.97,0.84,0.72,0.54,0.28,0.05,0,0,7.53,0
42701,2004,11,0,0,0.06,0.34,0.51,0.63,0.69,0.73,0.73,0.69,0.59,0.44,0.23,0.02,0,0,5.63,0
42701,2004,12,0,0,0.03,0.31,0.59,0.74,0.82,0.87,0.85,0.77,0.67,0.46,0.21,0.02,0,0,6.33,0
42701,2005,1,0,0,0.03,0.25,0.52,0.68,0.87,0.86,0.84,0.76,0.65,0.47,0.21,0.02,0,0,6.15,0
42701,2005,2,0,0,0.06,0.34,0.56,0.68,0.75,0.79,0.76,0.7,0.66,0.55,0.33,0.06,0,0,6.24,0
42701,2005,3,0,0,0.18,0.49,0.7,0.79,0.87,0.95,1.02,1.02,0.91,0.67,0.39,0.11,0,0,8.1,0
42701,2005,4,0,0.03,0.29,0.56,0.75,0.88,0.94,0.98,1.02,1.02,0.94,0.76,0.51,0.19,0.01,0,8.88,0
42701,2005,5,0,0.05,0.34,0.67,0.77,0.84,0.93,0.95,1.02,1.02,0.91,0.75,0.63,0.35,0.1,0,9.33,0
