STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Jodhpur,2022-10-15 19:00:00,0.0,0.0,2022,10,19,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210297e-16,0.0
Jodhpur,2022-10-15 20:00:00,0.0,0.0,2022,10,20,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.0
Jodhpur,2022-11-15 05:00:00,0.0,0.0,2022,11,5,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2022-11-15 06:00:00,0.0,0.0,2022,11,6,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2022-11-15 07:00:00,0.03,0.03,2022,11,7,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.0
Jodhpur,2022-11-15 08:00:00,0.23,0.41,2022,11,8,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,0.17999999999999997
Jodhpur,2022-11-15 09:00:00,0.44,1.08,2022,11,9,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,0.6400000000000001
Jodhpur,2022-11-15 10:00:00,0.56,1.62,2022,11,10,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.06
Jodhpur,2022-11-15 11:00:00,0.62,2.07,2022,11,11,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,1.4499999999999997
Jodhpur,2022-11-15 12:00:00,0.64,2.38,2022,11,12,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,1.7399999999999998
Jodhpur,2022-11-15 13:00:00,0.64,2.37,2022,11,13,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,1.73
Jodhpur,2022-11-15 14:00:00,0.62,2.14,2022,11,14,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,1.52
